unique_transaction_id;transaction_time;debtor_account;creditor_account;amount;status
ea72fcb5-f24a-4c3e-8c4a-0013659ae4d2;2024-02-01T07:23:49;"3259287744";"0021810377";2687.87;CANCELED
ccdbb572-919e-4369-a863-2b528e6db53b;2024-02-01T14:50:00;"87416708703279";"35244705383822";28718.22;CANCELED
47a9ddc4-9445-4cee-8a2d-cc5f5a43f20f;2024-02-01T17:58:47;"3626551631218";"675468903159";29260.63;SUCCESSFUL
b2e2a1e7-9021-424a-b712-ec8f436e866e;2024-02-01T11:55:55;"994805963042043";"5295610397";6795.13;FAILED
f0ba589e-f2b0-46a4-ab93-2cc43a795744;2024-01-31T23:05:00;"5961932406";"78260017585";23231.18;SUCCESSFUL
aec2701e-8149-452b-ab98-804e1eef6368;2024-02-01T21:07:33;"51531911704199";"23755900248";210.75;PENDING
64bb6c3a-48d6-4c50-9828-a32f840b3cae;2024-01-31T21:47:13;"4056484742059";"6039704003";23476.49;SUCCESSFUL
941db788-7a2e-4943-b238-da68000fb724;2024-02-01T06:48:00;"1360356998875";"7802711610";20061.53;SUCCESSFUL
2defaa89-602d-478e-9422-c1168833f8ea;2024-02-01T10:22:59;"757939004335137";"9999668270";27821.46;PENDING
31f1ab2f-5ed5-4e20-8182-7d7a48a29189;2024-02-01T13:05:56;"46892995806079";"041992856290236";17602.13;CANCELED
